,_id,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
match_766,5d886cb86dcc122b63b1afcd,rofin6,"Hey, how are you?",None,Looking for a first date. Who knows after that?,Non-Smoker with Athletic body type," Austin, Texas ","56 year old Male, 5' 5"" (165cm), Christian - other",Caucasian,rofin6 wants to date but nothing serious.,Masters Degree,Adventurer,Coach,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Blond(e),Blue,Yes,No,Under 1 year,Ambitious,No Pets,,56,M,Capricorn
match_767,5d886cb86dcc122b63b1afce,NORTHSATEXAS,LOOKING FOR THE RIGHT ONE,"['Music sports ', 'Shoppimg', 'Travel dine in and out']","I am single divorced professional, stable fun loving guy enjoy sports, dining in and out, listening to music, politics, reading, travel, hard worker, looking to share time with a special lady. I am NOT looking for a pen pal. I would rather meet in person and see if there is any mutual attraction to want to go out again.",Non-Smoker with Average body type," San antonio, Texas ","70 year old Male, 5' 6"" (168cm), Jewish",Caucasian,NORTHSATEXAS is actively seeking a relationship.,Graduate Degree,Animal Lover,Law,Woman,Dating,Viewhis relationship needs,View his chemistry results,Socially,Undecided/Open,Divorced,No,Brown,Brown,Yes, No,Over 4 years,Very Ambitious,Dog,,70,M,Scorpio
match_768,5d886cb86dcc122b63b1afcf,mac88,"Looking for ""Perfect for me""","['Snowboarding', 'Science Fiction', 'Movies']","I am not looking for perfection - and you should know up front that I'm not perfect. But I am looking for perfect for me. I am looking for smart, funny, attractive, energetic, athletic and free spirited...is that too much to ask for? That is the hopeful romantic in me who basically still believes that there is a perfect someone out there for all of us. I thought I met her once and it turned out I was not perfect for her. That's how I'm pretty sure I have flaws.I work as a marketing rep for a small software development company. I have a great sense of humor - although somewhat twisted at times.I enjoy meeting friends for a beer or coffee and just hanging out. I also enjoy going out for dinner and drinks or hosting parties. While I enjoy being social, I would describe myself as a situational extrovert. I tend to be quiet, shy and reserved around people I don't know...although I have been coming out of my shell more lately.I am active and energetic. I enjoy mountain climbing, snowboarding, racquetball, martial arts, rollerblading, reading, and movies. I love sailing, but I don't get a chance to do that. I am athletic, but never got involved with many team sports.I love all animals and have a cat. As soon as I get my yard fenced and the dog door installed, I am getting a couple of dogs.When I am not working or playing or assisting with events for Landmark Education, then I can usually be found fixing up or working on my old house. I love old houses - I grew up in one and love that an old friendly house is like putting on your favorite sweats or jeans. It just fits.I grew up in the country, so what you see is what you get. I am honest and don't live a pretentious life. I am just your typical all-American boy...but all grown up now....I love what I do for a living, but I still wonder what I want to do when I grow up. Up to this point in my life, the long-term relationship has never been a priority. Now I find myself wondering who is out there. Is my perfect someone still out there, or did she marry (settle for) someone else?",Non-Smoker with Thin body type," San antonio, Texas ","55 year old Male, 6' 1"" (185cm), Methodist",Caucasian,mac88 is looking for a relationship.,Bachelors Degree,,Computer Programmer,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,,Green,Yes,No,Over 2 years,,Cat,,55,M,Cancer
match_769,5d886cb86dcc122b63b1afd0,Jack1954,looking for fun loving women,None,I am an easy going guy. I am very happy in my life I am just looking for a woman to have some fun with and maybe a long term relationship. I don't like to play games or agrue or deep discussions. Just laughs and good times and hanging out and having fun.,Non-Smoker with Average body type," Lago vista, Texas ","65 year old Male, 5' 5"" (165cm), Christian - other",Caucasian,Jack1954 anything.,Anything,,Railroad Engineer,Woman,Dating,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Brown,Other,Yes,No,,,No Pets,,65,M,Aquarius
match_77,5d886cb76dcc122b63b1ad1c,RunHardATX,Wishing you will be my last,"['Running', 'Sailing', 'Biking']","Keeping a healthy lifestyle is essential. Running is my passion and balance. I'm looking for a woman who is kind, liberal, progressive, loves children, follows a balanced diet, embraces fitness, enjoys the outdoors, welcomes change and is excited about travel, languages, adventure and the opportunity of exploring foreign cultures.",Non-Smoker with Athletic body type," Austin, Texas ","55 year old Male, 5' 6"" (168cm), Non-religious",Hispanic,RunHardATX is looking for a relationship.,Masters Degree,Beach Bum,Urban Planner,Woman,Long Term,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Black,Brown,Yes,Yes,Over 7 years,Ambitious,No Pets,Spanish,55,M,Capricorn
match_770,5d886cb86dcc122b63b1afd1,Khanolive,A human with a great christian value.,None,"I like to play Golf, Table Tennis, Car race.",Non-Smoker with Average body type," Austin, Texas ","57 year old Male, 6' 2"" (188cm), Christian - other",Asian,Khanolive wants to find someone to marry.,Bachelors Degree,Adventurer,Lumberjack,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Widowed,No,Mixed Color,Brown,Yes,No,Over 10 years,Very Ambitious,Cat,,57,M,Aries
match_771,5d886cb86dcc122b63b1afd2,rw54,Looking for long term relationship,None,"Jesus said, love your neighbor as yourself. If God would have commanded us to do something outside of our ability this would have been totally unfair. He commanded love, which means love must be a choice, an act of our will, not an accident that happen when we least expect it. If any man or woman that love God, the same is known among them. When a man or woman love God, their love for God is known to all because our hearts are right toward others. The desires of our hearts do not hurt, wound, or cause pain and loss to others when we love God first. I'm divorced, friendly, honest, and faithful and most of all saved. I believe everyone should be given the benefit of the doubt until they have proven otherwise. My best features - I believe that is in the eyes of the beholder. Dreams - Yes I have a few. My interest - is meeting friendly female for conversations and maybe a long lasting relationship. I would love to met a christian female. The foolish reject what they see, not what they think, the wise reject what they think, not what they see."" SO LET US COMMUNICATE THAT THE KEY"" "" LET US TRIED IT"" COMMUNICATE",Non-Smoker with Average body type," Live oak, Texas ","65 year old Male, 6' 1"" (185cm), Other",Black,rw54 is looking for a relationship.,Bachelors Degree,Professional,Human Resources,Woman,Long Term,Not Completed,View his chemistry results,No,Does not want children,Divorced,No,Bald,Brown,Yes,No,Over 10 years,,No Pets,,65,M,Virgo
match_772,5d886cb86dcc122b63b1afd3,scropio,Serious relationship friendship,"['Football', 'Basketball', 'Drag racing']","Out going personally,friendly,drama free, laid back. Like all sports.",Non-Smoker with Average body type," Austin, Texas ","63 year old Male, 6' 0"" (183cm), Baptist",Black,scropio is looking for a relationship.,Some college,Animal Lover,Technical,Woman,Long Term,Not Completed,Not Completed,Prefer Not To Say,Does not want children,Single,No,Black,Brown,Yes,No,Over 10 years,Somewhat Ambitious,No Pets,,63,M,Scorpio
match_773,5d886cb86dcc122b63b1afd4,ChromeSneaker,Simply...someone you didn't expect.,"['Country music', 'Honky Tonks', 'Gym time']","One good man looking for one good woman. A professional man who chooses to exhibit character instead of being a character. Love me some G-d, and humbled by all he does for me. A great sense of humor. Animal lover and supporter of noble causes. A great commuminicater and a good listener. Remember, I can't fix it if I don't know it's broken. Love love love country music, great eateries, cool honky tonks, HD motorcycles and gym time...the struggle is real...lol Also love all things tech; however, not a gamer. Better things to do with down time, which I would rather spend with you.If you're a single mom, I'll respect your children's relationship with their dad, and do all I can to earn their respect and friendship.Curious? Want to know more? You know what to do.",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","64 year old Male, 5' 7"" (170cm), Christian - other",Caucasian,ChromeSneaker is actively seeking a relationship.,Bachelors Degree,Professional,Commercial Lender,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,,Hazel,Yes,No,Over 10 years,Ambitious,Cat,,64,M,Sagittarius
match_774,5d886cb86dcc122b63b1afd5,Over_the_Hill,Could you be the one?,"['Guitar', 'Chess', 'Board games']","Thank you for browsing my profile. My friends think I'm kind of interesting with a good sense of humor, and my hobbies include guitars(acoustic and bass), music (classic rock, blues, and country), camping by the lake and BBQs, watching movies, playing board games (chess), reading and dancing. My goal is to live a full, whole, and complete life, and if that includes the woman of my dreams, then maybe fate would have it that way. I also have been known to write poetry. Past relationships have taught me that true love is a gift, and cannot be bought or sold. If you don't find me a potential match, then I hope you meet the person who makes you happy and is a joy to be around.",Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","65 year old Male, 5' 8"" (173cm), Christian - other",Caucasian,Over_the_Hill is looking for a relationship.,Bachelors Degree,Film/TV Junkie,Caregiver,Woman,Friends,Not Completed,Not Completed,No,Prefer Not To Say,Single,No,Brown,Blue,Yes,No,Over 10 years,,No Pets,Spanish,65,M,Gemini
match_775,5d886cb86dcc122b63b1afd6,texasfishhead,Good with your hands?,None,Looking a woman that's good with her hands.....that's what I want....what do you want?,Non-Smoker with Big & Tall/BBW body type," Junction, Texas ","56 year old Male, 6' 4"" (193cm), Non-religious",Caucasian,texasfishhead isn't seeking a relationship or any kind of commitment.,Bachelors Degree,Adventurer,Self employees,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Hazel,Yes,No,Over 10 years,Ambitious,Cat,,56,M,Sagittarius
match_776,5d886cb86dcc122b63b1afd7,RandallK1209,Love is overrated...,"['Sports', 'Arts', 'Pets']",About me... well some have told me this is a red flag but I want to be honest.. I am single.. as in never been married single. I am not a church goer but not a total heathen either. I am pretty far left of center politically so don’t ask me to drink the kool-aid. I’m a homebody and not interested in moving or traveling overseas. Still working full time so factor that in. Recently tested STD free. If you’re still interested...send me a message and more than just “hi there” .. over and out.,Non-Smoker with Average body type," Cedar park, Texas ","65 year old Male, 6' 0"" (183cm), Non-religious",Caucasian,RandallK1209 wants to date but nothing serious.,High school,Maker,self employed,Woman,Dating,Viewhis relationship needs,View his chemistry results,No,Does not want children,Single,No,Grey,Green,Yes,No,Over 2 years,Not Ambitious,Cat,,65,M,Taurus
match_777,5d886cb86dcc122b63b1afd8,max5964,Looking for that laughing heart.,"['Live music', 'Movies', 'Restaurants']","I like to be active and explore the world. Not a TV-watcher, would prefer to go a movie. Love to talk and like people that like to talk. I like a sense of humor and verbal word-play.I like photography, kayaking, rambling around the Hill Country, dining in unusual restaurants, movies, anything to do with water, dancing, and live music.One of the most important characteristics of a potential partner would be a sense of humor and curiosity.",Non-Smoker with Average body type," Round rock, Texas ","74 year old Male, 5' 7"" (170cm), Non-religious",Caucasian,max5964 is actively seeking a relationship.,Graduate Degree,Intellectual,Finance,Woman,Long Term,Viewhis relationship needs,View his chemistry results,Socially,Undecided/Open,Divorced,No,Grey,Brown,Yes,No,Over 10 years,Ambitious,No Pets,,74,M,Gemini
match_778,5d886cb86dcc122b63b1afd9,bvtdart,Want a satisfying relationship im 46,"['Staying fit', 'Sking', 'Biking']","I enjoy staying fit and eating healthy. Various activities including dancing, dining out, cooking, and restoring classic cars. I like rock and nostalgic events, monagomy,dating and romantic travels. Im 46 yrs old , i dont know how to change that on my profile Although every relationship has it's ups & downs, I will treat my Lady with lots of love & respect. I like to hold her hand while walking side by side, I enjoy the little kisses stolen throughout the day, & the little smiles she gives me from across the room. I believe a man & woman are to walk side by side in life & so communication & honesty are VERY important. I in turn will be completely faithful to her & will support her during our lives together. I do expect her to do the same for me. We don't always have to be together but we'll feel each others presence even when we're apart. We will be each others rock to lean on & we will share dreams & goals for ourselves. mom from Kenya and dad from Texas. I lives in Austin Texas and im willing to relocate anywhere for the right one",Non-Smoker with Athletic body type," Austin, Texas ","65 year old Male, 5' 10"" (178cm), Catholic",Black,bvtdart wants to find someone to marry.,Bachelors Degree,Hopeless Romantic,SELF,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Black,Brown,Yes,No,Over 10 years,Very Ambitious,Dog,,65,M,Leo
match_779,5d886cb86dcc122b63b1afda,DaddyDogJP,"Lady Elude, I await you.....","['Country', 'Animals', 'Music']","Hope you are having luck!Remember, after a certain age, we are no longer desirable. So get out there before it's too late!I'm not looking for marriage at my age, rather to meet someone with common interests.",Non-Smoker with Athletic body type," San marcos, Texas ","68 year old Male, 5' 8"" (173cm), Baptist",Caucasian,DaddyDogJP is actively seeking a relationship.,Bachelors Degree,Animal Lover,semi-retired,Woman,Friends,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Grey,Blue,Yes,No,Over 10 years,Ambitious,Dog,,68,M,Leo
match_78,5d886cb76dcc122b63b1ad1d,RevTJ,Seeking Relationship,"['God', 'Life', 'Almost anything outdoors']","I love to fish, as well as pretty much anything outdoors. Avid reader, and I love movies. I love music and to dance, want to know more, ask! Also, serving God is the single most important thing in my life, and I am a minister! I love to cook and did so for many yrs. Also, I'm a hopeless romantic who believes that Love is a rare gift, if you find it, treat it well, be loyal, honest, and make that someone special feel like they are the only one that matters!",Non-Smoker with Average body type," Spicewood, Texas ","58 year old Male, 5' 8"" (173cm), Christian - other",Caucasian,RevTJ is looking for a relationship.,Some college,Free Thinker,Restaurant Manager,Woman,Long Term,Not Completed,Not Completed,No,Does not want children,Divorced,No,Bald,Hazel,Yes,Yes,Over 10 years,Somewhat Ambitious,Dog,,58,M,Aquarius
match_780,5d886cb86dcc122b63b1afdb,henly2216,There is a girl out there looking for me,"['Country music', 'Country dance', 'Archery']","I'm probably like most... Want to be treated like a king by a woman that deserves to be treated like a Queen.I work hard, play hard, but yet know how to relax. Somewhat a handshake, hold the door, old fashioned kind of guy with an Mac and a Droid.No Drama, no baggage, live in the country (between Austin and San Antonio) close to the city, and really enjoy the bird song and sunsets off the back porch.Any Questions just ask.",Non-Smoker with Thin body type," Henly, Texas ","56 year old Male, 5' 10"" (178cm), Non-religious",Caucasian,henly2216 is looking for a relationship.,High school,Crafty,Home builder,Woman,Long Term,Viewhis relationship needs,View his chemistry results,Socially,Does not want children,Single,No,Grey,Grey,Yes,No,Over 7 years,Ambitious,No Pets,,56,M,Aries
match_781,5d886cb86dcc122b63b1afdc,Wunfungi,Let's have a laugh and some fun!,"['Health and Fitness', 'Home Improvement/ Working with my hands', 'Great conversation']","I'm very easy going with t a great sense of humor. Bonus if you have one too since making you laugh will be my mission ; ) Love home improvement projects/ working with my hands and can fix just about anything around the house so I'm pretty handy to have around. Try to live healthy, stay fit, very active but do cheat a bit on the weekends. I make it a point to be kind and respectful to everyone I meet. (including here) and believe strongly in helping others/ volunteering. Always cheerful and optimistic. Also an animal lover and can't resist fury little creatures. Would own a dog or 3 but I'm just not home enough to give one the proper attention it needs. Hope this hasn't bored you yet lol. If you are a fun person and reasonably fit, maybe we could talk a bit then meet in person. If I message you and you don't respond, it's totally okay. We're all adults here and you have to find the guy that's best for you. ",Non-Smoker with Athletic body type," Leander, Texas ","56 year old Male, 5' 8"" (173cm), Christian - other",Caucasian,Wunfungi is looking for a relationship.,Some college,Class Clown,Sales & Marketing,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Blond(e),Blue,Yes,No,Over 7 years,Ambitious,Cat,,56,M,Virgo
match_782,5d886cb86dcc122b63b1afdd,ItalianinSA,Being Open Minded- Message me.,"['Coffee', 'Woodworking', 'Teaching how to paint']","Hello"" I was raised in S California, and have lived in a few other states as, PA, AZ, NM,SC, HI and Alaska. My love of Photography, and a lot of freedom in my life, guided me to many of our wonderful states. I do enjoy a mix of country and city. I am a drama free man, with No"" baggage. People have described me as, artistic, funny, ( that comes with years working in Alaska, as a motor coach driver, for Holland America Princess) quiet, easy to talk with, and humble with a big heart. As to music, I like Jazz, Blues and oldies of the 70s & 80s. I am straight forward, tell the truth, open, and believe good communication is the key"" to a strong and growing relationship. To me age is just a number. Its a persons attitude about it that makes a difference. I love"" the outdoors, and enjoy hiking, walking, camping, shooting, fishing,Woodworking' and maybe just a nice Sunday drive to explore a new area, as life is a great adventure! I am also a landscape artist, and in some of my free time I paint"" in oils. In the past I was heavy into photography"" for 20 years. I am looking for something meaningful, --- must have a kind open heart, and a sense of humor & giving. Time for a (update) 7/19 Still 100% Free' Yes I have made a few, nice friends' but honestly' my heart desires more' how about you' ?",Non-Smoker with Average body type," Schertz, Texas ","62 year old Male, 5' 4"" (163cm), Baptist",Caucasian,ItalianinSA is looking for a relationship.,High school,Artsy,Production/Driver ,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Hazel,,No,Over 7 years,Very Ambitious,No Pets,,62,M,Cancer
match_783,5d886cb86dcc122b63b1afde,Seacop9,"Inner Integrity, Selflessness, Confident","['Art', 'Cooking', '']","I was not raised in the US, I Love New Wave music-80s. I Find that Nothing on TV holds my attention. I enjot Art & Cooking(Pressure canning) I Absolutley enjoy what i do for a living. Regretably -I have not held a girl in my arms for 2 decades. Finding the Dating scene more of a scientific venture, Needing something of a Simple & Caring girl. I'm a Guy with Up-Front Fortitude and a little sarcasm.",Non-Smoker with Average body type," Live oak, Texas ","56 year old Male, 5' 7"" (170cm), Other",Caucasian,Seacop9 is looking for a relationship.,Some college,Night Owl,healthcare,Woman,Dating,Not Completed,Not Completed,No,Undecided/Open,Single,No,Blond(e),Blue,Yes,No,Over 4 years,Somewhat Ambitious,No Pets,,56,M,Leo
match_784,5d886cb86dcc122b63b1afdf,mmike2009,Amusing and Amused,"['Antidisestablishmentarianism', 'Back Road travel', 'Reading']","I am a tall, dark, hulking Texan. I have wide interests and a burning curiosity about everything. I have no great goals or aspirations other than to enjoy things as they come along and eventually comprehend the nature of the universe....(working on it..I'll probably have it sometime next week). I have a wicked and warped sense of humor which is why I try and avoid funerals. And in recent years I have tried to be kinder to small furry creatures. I will have to note that my age is wrong in my profile. I am actually 59 years and 36 months old. I will probably not contact you first on here. There are far too many scammers and guys who send the standard line to every newbie that joins. I hate to wait in lines. If you some burning need to contact/meet/know me please fell free to go against tradition. All I ask is that you be of relatively sound mind (or at least can fake it in a pinch) and of legal age in Texas. I really am single and I am not an African Prince trying to find some American to loan me their bank account so I can transfer my millions someplace safe.",Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","63 year old Male, 6' 1"" (185cm), Non-religious",Caucasian,mmike2009 is looking for a relationship.,Graduate Degree,Intellectual,Systems ,Woman,Dating,Viewhis relationship needs,View his chemistry results,Socially,Prefer Not To Say,Divorced,No,Black,Green,Yes,No,Over 10 years,Somewhat Ambitious,No Pets,,63,M,Gemini
match_785,5d886cb86dcc122b63b1afe0,Jakeg61,If you don't bet you can't win,"['Movies', 'Books', 'Live music']","Bored? Restless? Think there must be more to life than going through these profiles? I might be the one for you. Grew up in Texas. Away for 40 years. 25 of those years were spent in Los Angeles. Semi retired. However... I work from my home office by referral only occasionally and make my own schedule.You can find me at a concert, reading, fishing, going to a flea market or a movie. I like to take a trip with the top down on a pleasant day. I need to have more fun out of life and I'm working on that. Please note that my idea of fun does not include weeks of e mails and phone calls. If we want to meet let's meet.You can find me at the Y most mornings trying to get in shape. Exercise and good health can be addictive.I'm reasonably well read and educated. Fond of just about anything that interests me or expands my horizons. I'll listen to Asleep at the Wheel as often as Elvis, Mozart or Miles Davis. Favorite movies: Blade Runner, Ground Hog Day, Lost in Translation and of course the last Indiana Jones movie among others.I Like to keep up with current affairs and will discuss almost anything. I'll take either side of free will versus determinism. Not handsome. Not bad enough to send people screaming into the night. I really DO smile! It's just hard to tell sometimes.I am constantly amazed and amused by life's absurdities, coincidences, contradictions, passions and beauty. I wouldn't have it any other way.Read this far? Good for you. Keep reading.I'm looking for a good solid relationship based on mutual attraction and affection and all that implies. Life is too short.I am definitely not dead from the neck down and want a woman who is interested in and capable of life's passions. I'm in Cedar Park which is just north of Austin. The most recent is picture is the one in the black t shirt. I apologize for the selfies but when I'm out with friends they usually want me to take pictures of them. You should know I have lost some weight since that last picture but I hate taking selfies so what is on the site is it til someone takes another picture of me.Your pictures should be recent too. Don't leave a Want to Meet Me on the site. I'll never see it. If you want to meet me or contact me leave a message.",Non-Smoker with Average body type," Cedar park, Texas ","72 year old Male, 5' 7"" (170cm), Christian - other",Caucasian,Jakeg61 is looking for a relationship.,Bachelors Degree,Free Thinker,Semi retired Consultant,Woman,Long Term,Viewhis relationship needs,View his chemistry results,Socially,Does not want children,Single,No,Mixed Color,Blue,Yes,No,Over 5 years,Somewhat Ambitious,No Pets,,72,M,Aries
match_786,5d886cb86dcc122b63b1afe1,charlez007,@#$#$%$%^%^&^%$%^&*(&^&*&*&^%$%^&,None,#$##!#@%$^^*&*^%$%$^**)*((&^&%$#@#%$%^&*)(*&^%$#@!@#$%^&*&^%$#$%$#$#@!~!@#$#@#$%^&^%$#@!@#$%^%$%$%$%$#@#@@@@@@#$%$#$%^&%^&^&%$#@!@#$#@!@#$%$#@#$#$%$^&^%$#@!@#$%^&*&^%$#@!#$%^&*&^$#@#$%^&*&^%$#@#$%^&*&^%$#$%^&^%$%^&^%$#@!@#$%^$%#@!#$%^%$#@#$%^&%$#@#$%^&^%$#@$%^&^$%#@#$%^&^$##$%^%$#@#$%,Non-Smoker with Average body type," Sanantonio, Texas ","59 year old Male, 5' 9"" (175cm), Catholic",Hispanic,charlez007 is looking for a relationship.,High school,Beach Bum,contractor,Woman,Hang Out,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Brown,Yes,No,Over 5 years,,Dog,,59,M,Virgo
match_787,5d886cb86dcc122b63b1afe2,horsehider58,fidelity a must,"['Horses', 'Golf', 'Football']","I like to do a variety of things such as Play golf, team roping(RODEO), watch football games(I am a big college football fan LSU and New Orleans Saints fan). I also like to hunt and fish although I haven't been able to the last few years. I enjoy going to the opera and I also like country music. I guess you would say that I have a diverse personality. I do not respond to ""Hey there"". If you are in any way medically or psychologically unfit, Do not contact me. Sorry to be so harsh. But I am tired of the psycho's on this site! If you are not patient, that will turn me off, quickly!!!. I am laid back, but will not be a door mat, for anyone. If you cannot take me, at my word. Move On!Most weekends, you will find me on my boat. Fishing. After reading a profile tonight, I must say this. Anyone that proclaims to be ""beautiful and intelligent"" but does not know the difference between ""Woman"" and ""Women"" is NOT intelligent!!!Update*****(4/16/2011) Ladies if you contact me you must have a photo, I know I am not the best looking guy on here, but I have enough nerve to at least put a photo on here that is really me. I feel if you do not post a photo you have something to hide. if you are hiding something now what will you hide in a relationship? I am serious about wanting to find a companion, if you are ""just Shopping"" Pass me by. There are never going to be any coupons for this merchandise!!!!! Also If you are separated contact me after your divorce is final. That means You are still married and this goes against my morals, even if you have been separated for 2 years .I am divorced and am not on here for women that are not yet able to commit to a relationship!!!!! If you just want a casual relationship, you're not for me. If I see this on your profile, I will just ignore your correspondence. Oh yes, I read the complete profile. Sorry for the rant, but I am getting tired of the women on here that think this is a Game. If I wanted to play Games I would choose to play Holdem, before I'd play with someones head.And my final word: To all you mothers of our brave service men and women, I would like to thank you for their service to our great nation. without you we would not have the service people to protect this great land!!! And I thank them for their unselfish devotion to their country. If you have more than one pic, with alchohol in it. We won't be a match. Not condemning, it just means you are in a different stage of your life, than I am.NO PIC NO RESPONSE!!!!!!!!!!!!!! Don't waste your time even trying!!!!!!!!!!!!!",Non-Smoker with Big & Tall/BBW body type," Liberty hill, Texas ","60 year old Male, 6' 1"" (185cm), Christian - other",Caucasian,horsehider58 is looking for a relationship.,Some University,Hopeless Romantic,Technician,Woman,Long Term,Not Completed,Not Completed,Socially,Undecided/Open,Divorced,No,Brown,Blue,Yes,No,Over 7 years,Ambitious, No Pets,,60,M,Libra
match_788,5d886cb86dcc122b63b1afe3,hotnites,Let's Start An Adventure,"['Outdoor activities', 'Live music', 'Dining out']","I'm a 57yro swm. I live in Austin and I love it! I like to go hike around Lake Lady Bird, swim at Barton Springs Pool, check out the latest food trucks and restaurants, listen to live music, etc. I also enjoy cooking, movies, books, and spending ""comfy"" time with a special someone. I love to make my partner laugh, long, intimate converations, and I'm very affectionate. I""m looking for an attractive woman around my age serious dating that might lead to more.",Non-Smoker with Average body type," Austin, Texas ","57 year old Male, 6' 1"" (185cm), Christian - other",Caucasian,hotnites is actively seeking a relationship.,Graduate Degree,Hopeless Romantic,Government,Woman,Dating,Not Completed,Not Completed,Socially,Undecided/Open,Single,No,Brown,Green,Yes,No,Over 10 years,Somewhat Ambitious,Cat,Spanish,57,M,Scorpio
match_789,5d886cb86dcc122b63b1afe4,1applianceguy,Maytag Man,"['Outdoors', 'Bicycling', 'EXERCISE']","I worship God the Creator and Jesus my Savior. I too like to create and restore things. 2 trucks (over 20 yrs. old) I have restored to a ""like new"" condition. My other interests are music, comedy and I am working on a book, a subject that I feel very strongly about. I am covering a topic that will help a lot of people here in S. Texas and especially in rural areas.  I joined this site because I feel that the most valued hidden treasure is still out there. I hope that She and I will meet here on this forum. I feel that beauty is not ""skin deep"" but it also has a lot to do with ones' morals, values, interests, education and a willingness to research new things, within reason. I am of the ""black Irish"" descent , which means nothing really other than I had relatives who were Irish in the 1800's and they migrated here and built railroads and fought for Texas independence and then? the races got intermingled with Italiano, French, Espanol, English, Native American etc.., because the immigrant railroad workers in the 1800's got around if you know what I mean..., Choo chooo!! So I am a Mut, I guess.  I have always been attracted to the smart, attractive, slender, shapely type. I do not want to seem ""shallow"" in saying this? but if you message me and I do not reply.., I probably do not feel any attraction towards you..., sorry.  The ideal 1st date would be for us to meet for lunch or dinner, we then find out that we have so much interest(s) in common and in one another, that we get lost in conversation and talk for hours.   Please feel free to contact me if you wish. I would welcome that for sure. We can 1st correspond, and then if we ""click..?,"" we could meet and take it from there. Oh, and I love this SONG! I remember listening to this during high school Art class. You will probably have to copy and paste it to hear it. https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjXo7SUie_OAhWGKWMKHZA9AwsQtwIIMTAC&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DcqZc7ZQURMs&usg=AFQjCNFLU5CRWBoB5xgJgEzkljJrGv-WcQ&sig2=8Rg_elCnXFfj_QjPkDWq6g&bvm=bv.131669213,d.cGc  I am awaiting your reply.., Sincerely, Richard ;-) ",Non-Smoker with Average body type," San antonio, Texas ","56 year old Male, 5' 10"" (178cm), Methodist",Mixed Race,1applianceguy is looking for a relationship.,Some college,Nomad,Self employed(ret),Woman,Dating,Viewhis relationship needs,View his chemistry results,No,Undecided/Open,Single,No,Grey,Brown,Yes,No,Over 5 years,Ambitious,No Pets,,56,M,Sagittarius
match_79,5d886cb76dcc122b63b1ad1e,theqlight1,"Live, Love, Ride","['Music', 'Riding motorcycles', 'Conversation']","If you have a motorcycle or like to ride that is a big - big plus as I try to ride daily to/from work and definately on the weekends where weather permits. But while riding is important to me it is important because it allows me to explore new places - meet new people and not sit in front of the TV when there is a world to explore.I like music, live and recorded. I like to paint (horribly) I have 1 dog that are my best friends and furry ""children"".I am a man full of love who is searching. It's hard to write something like this and open yourself up to people reading about you and making decisions about what kind of person you are all based on a couple of sentences but I guess that is what this is all about.I would love to find someone and live happily ever after. I love kids although I have none of my own. I am not a big drinker - I should say I am not an every day drinker. I do enjoy a glass of wine once in a while and a cold beer when I BBQ or am working outside.Love at first sight is VERY possible.Got a broken computer? Guess who is geeky so I'm the guy that can fix your computer, or most electronics.I think I am rambling now so I am going to stop here. I will add more later. I would urge you to say ""Hello"" if you read my profile and are interested! Is your picture current? Mine is.-more-From the ""And here's something about me"" catagory...Words or phrases that describe me* self-confident, relaxed, responsible, high standards,family oriented, controlled, caring, openness, emotionally aware, easy going, free spitited..Now it's up to you! Send me an email - let's talk! ",Smokes Occasionally with Average body type," Manor, Texas ","62 year old Male, 5' 8"" (173cm), Other",Caucasian,theqlight1 is looking for a relationship.,Bachelors Degree,Animal Lover,technical support,Woman,Long Term,Viewhis relationship needs,View his chemistry results,Socially,Undecided/Open,Widowed,No,Grey,Blue,Yes,No,Over 10 years,Somewhat Ambitious,Dog,,62,M,Cancer
